idpedido,quantidade,nome_produto,preco_pedido,preco_tabela,diferenca,discount
10329,20,Cte de Blaye,210.8,263.5,52.699997,0
10351,20,Cte de Blaye,210.8,263.5,52.699997,0
10353,50,Cte de Blaye,210.8,263.5,52.699997,0
10360,10,Cte de Blaye,210.8,263.5,52.699997,0
10372,40,Cte de Blaye,210.8,263.5,52.699997,0
10417,50,Cte de Blaye,210.8,263.5,52.699997,0
10424,49,Cte de Blaye,210.8,263.5,52.699997,0
10479,30,Cte de Blaye,210.8,263.5,52.699997,0
10268,10,Thringer Rostbratwurst,99,123.79,24.79,0
10290,15,Thringer Rostbratwurst,99,123.79,24.79,0
10305,25,Thringer Rostbratwurst,99,123.79,24.79,0
10354,4,Thringer Rostbratwurst,99,123.79,24.79,0
10360,35,Thringer Rostbratwurst,99,123.79,24.79,0
10369,20,Thringer Rostbratwurst,99,123.79,24.79,0
10382,14,Thringer Rostbratwurst,99,123.79,24.79,0
10400,21,Thringer Rostbratwurst,99,123.79,24.79,0
10440,24,Thringer Rostbratwurst,99,123.79,24.79,0
10465,18,Thringer Rostbratwurst,99,123.79,24.79,0
10420,20,Mishi Kobe Niku,77.6,97,19.400002,0
10252,40,Sir Rodney's Marmalade,64.8,81,16.199997,0
10272,6,Sir Rodney's Marmalade,64.8,81,16.199997,0
10292,20,Sir Rodney's Marmalade,64.8,81,16.199997,0
10372,12,Sir Rodney's Marmalade,64.8,81,16.199997,0
10384,28,Sir Rodney's Marmalade,64.8,81,16.199997,0
10293,12,Carnarvon Tigers,50,62.5,12.5,0
10305,25,Carnarvon Tigers,50,62.5,12.5,0
10332,40,Carnarvon Tigers,50,62.5,12.5,0
10340,20,Carnarvon Tigers,50,62.5,12.5,0
10382,9,Carnarvon Tigers,50,62.5,12.5,0
10470,30,Carnarvon Tigers,50,62.5,12.5,0
10255,30,Raclette Courdavault,44,55,11,0
10267,70,Raclette Courdavault,44,55,11,0
10275,6,Raclette Courdavault,44,55,11,0
10278,15,Raclette Courdavault,44,55,11,0
10298,30,Raclette Courdavault,44,55,11,0
10304,10,Raclette Courdavault,44,55,11,0
10324,40,Raclette Courdavault,44,55,11,0
10328,9,Raclette Courdavault,44,55,11,0
10341,9,Raclette Courdavault,44,55,11,0
10387,12,Raclette Courdavault,44,55,11,0
10410,16,Raclette Courdavault,44,55,11,0
10411,9,Raclette Courdavault,44,55,11,0
10423,20,Raclette Courdavault,44,55,11,0
10430,70,Raclette Courdavault,44,55,11,0
10457,36,Raclette Courdavault,44,55,11,0
10479,60,Raclette Courdavault,44,55,11,0
10480,12,Raclette Courdavault,44,55,11,0
10488,30,Raclette Courdavault,44,55,11,0
10490,60,Raclette Courdavault,44,55,11,0
10249,40,Manjimup Dried Apples,42.4,53,10.599998,0
10250,35,Manjimup Dried Apples,42.4,53,10.599998,0
10291,2,Manjimup Dried Apples,42.4,53,10.599998,0
10335,48,Manjimup Dried Apples,42.4,53,10.599998,0
10362,20,Manjimup Dried Apples,42.4,53,10.599998,0
10397,18,Manjimup Dried Apples,42.4,53,10.599998,0
10472,18,Manjimup Dried Apples,42.4,53,10.599998,0
10484,3,Manjimup Dried Apples,42.4,53,10.599998,0
10486,25,Manjimup Dried Apples,42.4,53,10.599998,0
10260,15,Tarte au sucre,39.4,49.3,9.899998,0
10277,12,Tarte au sucre,39.4,49.3,9.899998,0
10286,40,Tarte au sucre,39.4,49.3,9.899998,0
10298,15,Tarte au sucre,39.4,49.3,9.899998,0
10307,10,Tarte au sucre,39.4,49.3,9.899998,0
10310,5,Tarte au sucre,39.4,49.3,9.899998,0
10314,25,Tarte au sucre,39.4,49.3,9.899998,0
10316,70,Tarte au sucre,39.4,49.3,9.899998,0
10339,28,Tarte au sucre,39.4,49.3,9.899998,0
10389,20,Tarte au sucre,39.4,49.3,9.899998,0
10394,10,Tarte au sucre,39.4,49.3,9.899998,0
10408,35,Tarte au sucre,39.4,49.3,9.899998,0
10413,40,Tarte au sucre,39.4,49.3,9.899998,0
10449,35,Tarte au sucre,39.4,49.3,9.899998,0
10270,25,Ipoh Coffee,36.8,46,9.200001,0
10294,15,Ipoh Coffee,36.8,46,9.200001,0
10302,12,Ipoh Coffee,36.8,46,9.200001,0
10309,20,Ipoh Coffee,36.8,46,9.200001,0
10312,24,Ipoh Coffee,36.8,46,9.200001,0
10340,40,Ipoh Coffee,36.8,46,9.200001,0
10458,20,Ipoh Coffee,36.8,46,9.200001,0
10464,3,Ipoh Coffee,36.8,46,9.200001,0
10468,15,Ipoh Coffee,36.8,46,9.200001,0
10277,20,Rssle Sauerkraut,36.4,45.6,9.199997,0
10302,28,Rssle Sauerkraut,36.4,45.6,9.199997,0
10312,4,Rssle Sauerkraut,36.4,45.6,9.199997,0
10319,14,Rssle Sauerkraut,36.4,45.6,9.199997,0
10360,30,Rssle Sauerkraut,36.4,45.6,9.199997,0
10368,13,Rssle Sauerkraut,36.4,45.6,9.199997,0
10377,20,Rssle Sauerkraut,36.4,45.6,9.199997,0
10387,6,Rssle Sauerkraut,36.4,45.6,9.199997,0
10406,42,Rssle Sauerkraut,36.4,45.6,9.199997,0
10443,12,Rssle Sauerkraut,36.4,45.6,9.199997,0
10452,15,Rssle Sauerkraut,36.4,45.6,9.199997,0
10458,30,Rssle Sauerkraut,36.4,45.6,9.199997,0
10474,18,Rssle Sauerkraut,36.4,45.6,9.199997,0
10257,25,Schoggi Schokolade,35.1,43.9,8.800003,0
10278,8,Vegie-spread,35.1,43.9,8.800003,0
10284,15,Schoggi Schokolade,35.1,43.9,8.800003,0
10293,5,Vegie-spread,35.1,43.9,8.800003,0
10324,80,Vegie-spread,35.1,43.9,8.800003,0
10379,16,Vegie-spread,35.1,43.9,8.800003,0
10402,65,Vegie-spread,35.1,43.9,8.800003,0
10429,35,Vegie-spread,35.1,43.9,8.800003,0
10441,50,Schoggi Schokolade,35.1,43.9,8.800003,0
10344,70,Northwoods Cranberry Sauce,32,40,8,0
10345,70,Northwoods Cranberry Sauce,32,40,8,0
10265,30,Alice Mutton,31.2,39,7.799999,0
10279,15,Alice Mutton,31.2,39,7.799999,0
10294,15,Alice Mutton,31.2,39,7.799999,0
10302,40,Alice Mutton,31.2,39,7.799999,0
10319,8,Alice Mutton,31.2,39,7.799999,0
10338,20,Alice Mutton,31.2,39,7.799999,0
10339,70,Alice Mutton,31.2,39,7.799999,0
10346,36,Alice Mutton,31.2,39,7.799999,0
10415,2,Alice Mutton,31.2,39,7.799999,0
10430,45,Alice Mutton,31.2,39,7.799999,0
10431,50,Alice Mutton,31.2,39,7.799999,0
10444,10,Alice Mutton,31.2,39,7.799999,0
10262,2,Gnocchi di nonna Alice,30.4,38,7.6000004,0
10266,12,Queso Manchego La Pastora,30.4,38,7.6000004,0
10295,4,Gnocchi di nonna Alice,30.4,38,7.6000004,0
10301,20,Gnocchi di nonna Alice,30.4,38,7.6000004,0
10329,12,Gnocchi di nonna Alice,30.4,38,7.6000004,0
10346,20,Gnocchi di nonna Alice,30.4,38,7.6000004,0
10369,18,Gnocchi di nonna Alice,30.4,38,7.6000004,0
10383,20,Gnocchi di nonna Alice,30.4,38,7.6000004,0
10401,70,Gnocchi di nonna Alice,30.4,38,7.6000004,0
10426,5,Gnocchi di nonna Alice,30.4,38,7.6000004,0
10430,30,Gnocchi di nonna Alice,30.4,38,7.6000004,0
10433,28,Gnocchi di nonna Alice,30.4,38,7.6000004,0
10436,40,Gnocchi di nonna Alice,30.4,38,7.6000004,0
10439,15,Queso Manchego La Pastora,30.4,38,7.6000004,0
10458,15,Gnocchi di nonna Alice,30.4,38,7.6000004,0
10464,30,Gnocchi di nonna Alice,30.4,38,7.6000004,0
10471,20,Gnocchi di nonna Alice,30.4,38,7.6000004,0
10494,30,Gnocchi di nonna Alice,30.4,38,7.6000004,0
10497,14,Gnocchi di nonna Alice,30.4,38,7.6000004,0
10296,15,Gudbrandsdalsost,28.8,36,7.200001,0
10308,1,Gudbrandsdalsost,28.8,36,7.200001,0
10311,7,Gudbrandsdalsost,28.8,36,7.200001,0
10350,18,Gudbrandsdalsost,28.8,36,7.200001,0
10356,20,Gudbrandsdalsost,28.8,36,7.200001,0
10364,30,Gudbrandsdalsost,28.8,36,7.200001,0
10392,50,Gudbrandsdalsost,28.8,36,7.200001,0
10395,8,Gudbrandsdalsost,28.8,36,7.200001,0
10407,15,Gudbrandsdalsost,28.8,36,7.200001,0
10419,20,Gudbrandsdalsost,28.8,36,7.200001,0
10493,10,Gudbrandsdalsost,28.8,36,7.200001,0
10248,12,Queso Cabrales,14,21,7,0
10268,4,Mozzarella di Giovanni,27.8,34.8,7,0
10269,20,Mozzarella di Giovanni,27.8,34.8,7,0
10272,24,Mozzarella di Giovanni,27.8,34.8,7,0
10274,7,Mozzarella di Giovanni,27.8,34.8,7,0
10283,3,Mozzarella di Giovanni,27.8,34.8,7,0
10297,20,Mozzarella di Giovanni,27.8,34.8,7,0
10325,40,Mozzarella di Giovanni,27.8,34.8,7,0
10330,25,Mozzarella di Giovanni,27.8,34.8,7,0
10337,25,Mozzarella di Giovanni,27.8,34.8,7,0
10372,42,Mozzarella di Giovanni,27.8,34.8,7,0
10390,24,Mozzarella di Giovanni,27.8,34.8,7,0
10396,21,Mozzarella di Giovanni,27.8,34.8,7,0
10435,10,Mozzarella di Giovanni,27.8,34.8,7,0
10459,40,Mozzarella di Giovanni,27.8,34.8,7,0
10497,25,Mozzarella di Giovanni,27.8,34.8,7,0
10252,40,Camembert Pierrot,27.2,34,6.799999,0
10283,35,Camembert Pierrot,27.2,34,6.799999,0
10284,20,Camembert Pierrot,27.2,34,6.799999,0
10294,21,Camembert Pierrot,27.2,34,6.799999,0
10357,8,Camembert Pierrot,27.2,34,6.799999,0
10359,80,Camembert Pierrot,27.2,34,6.799999,0
10361,55,Camembert Pierrot,27.2,34,6.799999,0
10372,70,Camembert Pierrot,27.2,34,6.799999,0
10380,6,Camembert Pierrot,27.2,34,6.799999,0
10384,15,Camembert Pierrot,27.2,34,6.799999,0
10385,20,Camembert Pierrot,27.2,34,6.799999,0
10419,60,Camembert Pierrot,27.2,34,6.799999,0
10464,20,Camembert Pierrot,27.2,34,6.799999,0
10481,40,Camembert Pierrot,27.2,34,6.799999,0
10289,9,Wimmers gute Semmelkndel,26.6,33.25,6.6499996,0
10343,50,Wimmers gute Semmelkndel,26.6,33.25,6.6499996,0
10368,35,Wimmers gute Semmelkndel,26.6,33.25,6.6499996,0
10370,30,Wimmers gute Semmelkndel,26.6,33.25,6.6499996,0
10426,7,Wimmers gute Semmelkndel,26.6,33.25,6.6499996,0
10436,30,Wimmers gute Semmelkndel,26.6,33.25,6.6499996,0
10439,6,Wimmers gute Semmelkndel,26.6,33.25,6.6499996,0
10451,35,Wimmers gute Semmelkndel,26.6,33.25,6.6499996,0
10470,8,Wimmers gute Semmelkndel,26.6,33.25,6.6499996,0
10479,30,Wimmers gute Semmelkndel,26.6,33.25,6.6499996,0
10256,15,Perth Pasties,26.2,32.8,6.5999985,0
10285,36,Perth Pasties,26.2,32.8,6.5999985,0
10306,10,Perth Pasties,26.2,32.8,6.5999985,0
10312,20,Perth Pasties,26.2,32.8,6.5999985,0
10380,20,Perth Pasties,26.2,32.8,6.5999985,0
10388,40,Perth Pasties,26.2,32.8,6.5999985,0
10395,70,Perth Pasties,26.2,32.8,6.5999985,0
10416,10,Perth Pasties,26.2,32.8,6.5999985,0
10421,15,Perth Pasties,26.2,32.8,6.5999985,0
10437,15,Perth Pasties,26.2,32.8,6.5999985,0
10455,50,Perth Pasties,26.2,32.8,6.5999985,0
10479,28,Perth Pasties,26.2,32.8,6.5999985,0
10258,6,Mascarpone Fabioli,25.6,32,6.3999996,0
10314,40,Mascarpone Fabioli,25.6,32,6.3999996,0
10335,6,Mascarpone Fabioli,25.6,32,6.3999996,0
10330,50,Gumbr Gummibrchen,24.9,31.23,6.33,0
10337,24,Gumbr Gummibrchen,24.9,31.23,6.33,0
10357,16,Gumbr Gummibrchen,24.9,31.23,6.33,0
10393,70,Gumbr Gummibrchen,24.9,31.23,6.33,0
10404,30,Gumbr Gummibrchen,24.9,31.23,6.33,0
10421,30,Gumbr Gummibrchen,24.9,31.23,6.33,0
10422,2,Gumbr Gummibrchen,24.9,31.23,6.33,0
10432,10,Gumbr Gummibrchen,24.9,31.23,6.33,0
10444,15,Gumbr Gummibrchen,24.9,31.23,6.33,0
10448,6,Gumbr Gummibrchen,24.9,31.23,6.33,0
10458,30,Gumbr Gummibrchen,24.9,31.23,6.33,0
10487,30,Gumbr Gummibrchen,24.9,31.23,6.33,0
10273,24,Ikura,24.8,31,6.200001,0
10276,15,Ikura,24.8,31,6.200001,0
10357,30,Ikura,24.8,31,6.200001,0
10389,16,Ikura,24.8,31,6.200001,0
10449,14,Ikura,24.8,31,6.200001,0
10450,20,Ikura,24.8,31,6.200001,0
10478,20,Ikura,24.8,31,6.200001,0
10262,15,Uncle Bob's Organic Dried Pears,24,30,6,0
10385,10,Uncle Bob's Organic Dried Pears,24,30,6,0
10459,16,Uncle Bob's Organic Dried Pears,24,30,6,0
10471,30,Uncle Bob's Organic Dried Pears,24,30,6,0
10418,16,Sirop d'rable,22.8,28.5,5.700001,0
10440,90,Sirop d'rable,22.8,28.5,5.700001,0
10455,25,Sirop d'rable,22.8,28.5,5.700001,0
10259,1,Gravad lax,20.8,26,5.200001,0
10337,28,Gravad lax,20.8,26,5.200001,0
10408,10,Gravad lax,20.8,26,5.200001,0
10263,60,Nord-Ost Matjeshering,20.7,25.89,5.1899986,0
10282,6,Nord-Ost Matjeshering,20.7,25.89,5.1899986,0
10306,10,Nord-Ost Matjeshering,20.7,25.89,5.1899986,0
10327,35,Nord-Ost Matjeshering,20.7,25.89,5.1899986,0
10329,8,Nord-Ost Matjeshering,20.7,25.89,5.1899986,0
