id,fornecedor,total_2020,total_2021,resultado
12,Plutzer Lebensmittelgromrkte AG,21788.600206375122,69325.6300201416,47537.02981376648
28,Gai pturage,20228.000282287598,59711.000091552734,39482.99980926514
7,"Pavlova, Ltd.",21801.49991607666,59665.00031852722,37863.50040245056
26,Pasta Buttini s.r.l.,4993.20001411438,37036.29990577698,32043.099891662598
24,"G'day, Mate",12708.20040512085,38974.19997835159,26265.999573230743
18,Aux joyeux ecclsiastiques,33342.40032577515,56890.60037612915,23548.200050354004
29,Forts d'rables,9850.000381469727,33212.899784088135,23362.89940261841
11,Heli Swaren GmbH & Co. KG,6183.199864387512,23861.770067214966,17678.570202827454
20,Leka Trading,7544.199892997742,24606.450132369995,17062.250239372253
4,Tokyo Traders,3235.9999351501465,19965.19992828369,16729.199993133545
15,Norske Meierier,9174.400085449219,25004.800094604492,15830.400009155273
5,Cooperativa de Quesos 'Las Cabras',2179.199920654297,16279.59991645813,14100.399995803833
2,New Orleans Cajun Delights,7088.199934005737,19135.249689102173,12047.049755096436
19,New England Seafood Cannery,3876.5999393463135,15625.899602890015,11749.299663543701
8,"Specialty Biscuits, Ltd.",9544.000347137451,21193.89997959137,11649.899632453918
3,Grandma Kelly's Homestead,5800,16504,10704
14,Formaggi Fortini s.r.l.,13034.199821472168,22915.399730682373,9881.199909210205
1,Exotic Liquids,5475.199909210205,14655.599947929382,9180.400038719177
23,Karkki Oy,4412.39994430542,13173.849964141846,8761.450019836426
17,Svensk Sjfda AB,3836.7999410629272,11558.999991416931,7722.200050354004
25,Ma Maison,5286.20018863678,12405.650124073029,7119.449935436249
6,Mayumi's,2323.0000400543213,8913.050030708313,6590.049990653992
9,PB Knckebrd AB,856.7999753952026,6730.799970626831,5873.999995231628
21,Lyngbysild,1246.8000435829163,6746.2000207901,5499.399977207184
22,Zaanse Snoepfabriek,121.5999984741211,4632.749972820282,4511.149974346161
16,Bigfoot Breweries,5009.599877357483,9007.1999502182,3997.600072860718
13,Nord-Ost-Fisch Handelsgesellschaft mbH,3146.400115966797,6554.699913024902,3408.2997970581055
10,Refrescos Americanas LTDA,568.7999849319458,1756.799985408783,1188.0000004768372
27,Escargots Nouveaux,1643.0000591278076,2345.25,702.2499408721924
